393 | אילת: תחנה מרכזית
26 | באר שבע: תחנה מרכזית
28א | מיתר: תיכון מיתרים
28 | באר שבע: תחנה מרכזית
37 | תחנה מרכזית
110 | טירת כרמל: מרכז לבריאות הנפש
5 | תחנת הרכבת
2 | שכונת הפארק
2 | תחנת הרכבת
3 | נווה שרון
50 | מסגד עומר
548 | קרית מלאכי: נחלת הר חבד
288 | אריאל: אוניברסיטה
1 | מרכזית חוף הכרמל
91 | העיר העתיקה
102 | בית דגן: חניון שפירים
304 | ירושלים: הר נוף
304 | מודיעין עילית: אזור תעשיה
19 | רשפים: מרכז
207 | מרכזית דרך שכם
5 | רכבת סוקולוב
5 | את נווה נאמן
77 | שיכון עובדים
91 | תל אביב יפו: מסוף הטייסים
91 | הרצליה: קניון ארנה
292 | ירושלים: סנהדריה המורחבת
293 | ירושלים: סנהדריה המורחבת
27 | חשמונאים: מרכז
144 | קרית אתא: גבעת טל
46 | עמק יזרעאל: מרכז
50 | רם און: מרכז
50 | עפולה: תחנת הרכבת
254 | ירושלים: מרכזית דרך שכם
826 | נוף הגליל: הר יונה
203 | אום טובא
203 | מרכזית הנביאים
204 | מונטאר
204 | מרכזית הנביאים
213 | אום טובא
232 | בית צפאפא
232 | מרכזית הנביאים
234 | מרכזית הנביאים
231 | גוש עציון: בית ג'אללה
231 | ירושלים: מרכזית הנביאים
201 | עיסאוויה
118 | כפר יהושע: תחנת הרכבת
50 | אל ג'בל
451 | רהט: חממות
463 | שדרות: נאות אשכול
463 | רהט: חממות
171 | חיפה: לב המפרץ
123 | קלנסווה: מרכז
5א | מסוף אוטובוסים
6 | רחוב אבטליון
6 | מסוף אוטובוסים
377 | אלעד: מסוף אוטובוסים
179 | פתח תקווה: מסוף משה ארנס
201 | מרכזית דרך שכם
179 | אלעד: מסוף אוטובוסים
6 | כפר ברוך: תחנת הרכבת
6 | מגדל העמק: כיכר העיר
5 | רמת בלפור
49 | חיפה: מרכזית חוף הכרמל
144 | חיפה: אוניברסיטה
123 | תל אביב יפו: רכבת מרכז
180 | בני ברק: אזור התעשייה
25 | כפר ברוך: תחנת הרכבת
25 | כפר החורש: מרכז
305 | נהלל: מרכז היישוב
305 | מגדל העמק: כיכר העיר
57 | גדעונה: מרכז
61 | רמת גן: מסוף עמידר
19 | ראשון לציון: מסוף אבי האסירים
61 | תל אביב יפו: מסוף כרמלית
135 | ירושלים: בנייני האומה
18 | אורנית: בית וגן
18 | עץ אפרים: מרכז
28 | רמות מאיר: מרכז
28 | רחובות: ת.רכבת רחובות
18 | קידמת ים
18 | ת. רכבת חדרה
167 | באר יעקב: צומת ניר צבי
347 | תל אביב יפו: תחנה מרכזית
347 | רעננה: את קריית אתגרים
6 | גבעה ב
14 | מסוף הלוחמים
3 | תחנה מרכזית
6 | רכבת יבנה מזרח
462 | תל אביב יפו: רכבת מרכז
462 | לוד: גני אביב
460 | תל אביב יפו: רכבת מרכז
460 | לוד: תחנת הרכבת
49 | תל אביב יפו: מסוף רדינג
82 | פתח תקווה: בית רבקה
919 | ביס פני מנחם
923 | ביס פני מנחם
925 | תל אביב יפו: סמינר בית יעקב
931 | רמת גן: ביס חורב
935 | בית עלמין
938 | אוהל צביה
942 | אוהל צביה
948 | תל אביב יפו: סמינר בית יעקב
905 | ביס פני מנחם
950 | תל אביב יפו: סמינר בית יעקב
953 | תת בעלזא
955 | מגדל המים
906 | ביס פני מנחם
907 | ביס פני מנחם
912 | דמשק אליעזר
913 | חזון איש
915 | מתחם דובק
916 | רמת אלחנן
917 | פרדס כץ
918 | הפועל המזרחי ג
919 | קרית הרצוג
921 | בני ברק: קרית הרצוג
475 | לוד: תחנה מרכזית
408 | ירושלים: תחנה מרכזית
408 | לוד: תחנת הרכבת
6 | רכבת יבנה מערב
6 | מסוף שכונת חבד
6 | רכבת גני אביב
10 | אור יהודה: מסוף אור יהודה
