297,שעב/כביש ראשי
1,שד. אליעזר בן יהודה/עולי הגרדום
1,מסוף רמז/דוד רמז
3,חוף נפרד/שדרות בן גוריון
4,מרכז אפרידר/ככר צפניה
4,מסוף רמז/רציפים
5,מסוף חופית/אריה תגר
5,מסוף רמז/דוד רמז
6,מסוף רמז/רציפים
6,ת.מרכזית אשקלון/הורדה
8,מסוף חופית/אריה תגר
8,שד. אליעזר בן יהודה/עולי הגרדום
14,צאלים מרכז
16,ת.מרכזית אשקלון/הורדה
18,רכבת אשקלון/הורדה
18,יפה נוף/השונית
21,תלמים/מועדון פיס
21,ת.מרכזית אשקלון/הורדה
84,שיבת ציון/גיבורי ישראל
91,תיכון אורט
91,התחייה/המסגר
92,עירוני ד'
92,דוד רמז/שדרות דוד בן גוריון
95,יצחק בן צבי/אלי כהן
95,ככר נחשון
96,תיכון אורט
96,מסוף רמז/דוד רמז
97,מקיף עירוני ד'/שדרות הציונות
97,ביאליק/בן זומא
98,עירוני ד'
99,תיכון אורט
130,בא''פ/מל''י
130,ת.מרכזית באר שבע/הורדה
364,ת.מרכזית באר שבע/הורדה
364,ת.מרכזית אשקלון/הורדה
365,פארק אופקים
365,ת.מרכזית אשקלון/הורדה
379,ת.מרכזית תל אביב קומה 6/הורדה
379,ת.מרכזית תל אביב קומה 6/הורדה
29,נחל עוז
29,מועצה אזורית שער הנגב
22,חלץ א
22,ת.מרכזית אשקלון/הורדה
4,רכבת/מסוף ביג
4,ת. מרכזית אשדוד
5,בני ברית/מורדי הגיטאות
5,ת. מרכזית אשדוד
9,בני ברית/מורדי הגיטאות
9,רכבת/מסוף ביג
11,הבושם/האומן
11,מסוף הריביירה
12,הבושם/האומן
12,מסוף הריביירה
33,ת. מרכזית אשדוד
34,יותם המלך/דוד המלך
74,בית ספר יהלום/הרב מנחם מנדל הגר
74,שדרות יצחק רבין/שדרות הרצל
76,בית ספר יהלום/הרב מנחם מנדל הגר
76,כיכר טופז
79,כיכר טופז
77,שדרות ירושלים/שדרות משה דיין
21,רכבת/מסוף ביג
21,מסוף הריביירה
22,רכבת/מסוף ביג
22,מסוף הריביירה
23,רכבת/מסוף ביג
23,מסוף הריביירה
1א,ת. מרכזית נתניה/הורדה
10,ת. מרכזית נתניה/הורדה
10א,ת. מרכזית נתניה/הורדה
12,צבי שכטרמן/דרך דגניה
12,צבי שכטרמן/דרך דגניה
12,ת. מרכזית נתניה/הורדה
12,ת. מרכזית נתניה/הורדה
82,בי''ס שפירא
82,בי''ס שפירא
82,בי''ס שפירא
